Champion,Ability Type,Ability Name,Description
Briar,Passive,Crimson Curse,"Briar's attacks and abilities apply a stacking bleed that heals her for a portion of the damage it deals. Perpetually hungry, she gains increased healing based on her missing Health, but lacks innate Health Regeneration."
Briar,Q,Head Rush,"Briar leaps to a unit and hits enemies with The Heel Wheel (of Pain), stunning them and breaking their Armor."
Briar,W,Blood Frenzy / Snack Attack,"Briar leaps forward and shatters her pillory, entering a Blood Frenzy that causes her to relentlessly pursue the nearest enemy (prioritizing champions). While frenzied, she gains increased Attack Speed and Move Speed, and her attacks deal damage in an area around her target.<br><br>Briar can reactivate this ability while frenzied to take a CHOMP out of her target on her next attack, dealing additional damage based on their missing Health, and healing Briar based on the damage she deals."
Briar,E,Chilling Scream,"Briar refocuses her mind, removing Blood Frenzy and channeling energy into a powerful scream that damages and slows enemies. While charging, she takes reduced damage and heals for a portion of her max Health. A fully charged scream knocks foes back, dealing additional damage and stunning those who collide with a wall."
Briar,Ultimate,Certain Death,"Briar kicks her pillory's hemolith gemstone, marking the first champion it hits as her prey. She then beelines straight to them, fearing other surrounding enemies upon arriving at her target, and enters a state of complete hemomania. She will pursue her prey until death, gaining the benefits of Blood Frenzy as well as additional Armor, Magic Resistance, Life Steal, and Move Speed."
Draven,Passive,League of Draven,"Draven gains his fans' Adoration when he catches a Spinning Axe or kills a minion, monster, or tower. Killing enemy champions grants Draven bonus gold based on how much Adoration he has."
Draven,,Spinning Axe,"Draven's next attack will deal bonus physical damage. This axe will ricochet off the target high up into the air. If Draven catches it, he automatically readies another Spinning Axe. Draven can have two Spinning Axes at once."
Draven,,Blood Rush,Draven gains increased Move Speed and Attack Speed. The Move Speed bonus decreases rapidly over its duration. Catching a Spinning Axe will refresh the cooldown of Blood Rush.
Draven,,Stand Aside,"Draven throws his axes, dealing physical damage to targets hit and knocking them aside. Targets hit are slowed."
Draven,,Whirling Death,Draven hurls two massive axes to deal physical damage to each unit struck. Whirling Death slowly reverses direction and returns to Draven after striking an enemy champion. Draven may also activate this ability while the axes are in flight to cause it to return early. Deals less damage for each unit hit and resets when the axes reverse direction. Executes enemies who have less health than Draven's number of Adoration stacks.
Viego,Passive,Sovereign's Domination,"Enemies who fall before Viego become wraiths. By attacking a wraith, Viego temporarily seizes control of the dead enemy's body, healing for a percentage of his target's max health and gaining access to their basic abilities and items. He replaces their Ultimate with a free cast of his own."
Viego,Q,Blade of the Ruined King,"Viego's spectral blade passively deals bonus percent current Health damage <OnHit>On-Hit</OnHit> and strikes twice vs. enemies he recently hit with an Ability, stealing Health.<br><br>Viego can activate this Ability to thrust his zweihander forward, impaling enemies in front of him."
Viego,W,Spectral Maw,"Viego charges up before dashing forward, releasing a ball of concentrated Black Mist that stuns the first enemy hit."
Viego,E,Harrowed Path,"Viego commands the Black Mist to haunt and surround a piece of terrain. Viego can hide in the Mist as a wraith, gaining camouflage, Move Speed, and Attack Speed."
Viego,Ultimate,Heartbreaker,"Viego teleports to a nearby location and executes an enemy champion on arrival, piercing their heart and causing a destructive shockwave around them that knocks away their allies."
Jhin,Passive,Whisper,"Jhin's hand cannon, Whisper, is a precise instrument designed to deal superior damage. It fires at a fixed rate and carries only four shots. Jhin imbues the final bullet with dark magics to critically strike and deal bonus execute damage. Whenever Whisper crits, it inspires Jhin with a burst of Move Speed."
Jhin,Q,Dancing Grenade,Jhin launches a magical cartridge at an enemy. It can hit up to four targets and gains damage each time it kills.
Jhin,W,Deadly Flourish,"Jhin brandishes his cane, firing a single shot with incredible range. It pierces through minions and monsters, but stops on the first champion hit. If the target was recently struck by Jhin's allies, lotus traps, or damaged by Jhin, they are rooted."
Jhin,E,Captive Audience,"Jhin places an invisible lotus trap that blooms when walked over. It slows nearby enemies before dealing damage with an explosion of serrated petals. <br><br><font color='#FFFFFF'>Beauty in Death -</font> When Jhin kills an enemy champion, a lotus trap will bloom near their corpse."
Jhin,Ultimate,Curtain Call,"Jhin channels, transforming Whisper into a shoulder-mounted mega-cannon. It is able to fire 4 super shots at extreme range that pierce through minions and monsters, but stop on the first champion impacted. Whisper cripples enemies hit, which slows them and deals execute damage. The 4th shot is perfectly crafted, epically powerful, and guaranteed to critically strike."
MonkeyKing,Passive,Stone Skin,Wukong gains stacking armor and max health regeneration while fighting champions and monsters.
MonkeyKing,,Crushing Blow,"Wukong's next attack gains attack range, deals bonus damage, and reduces the target's armor for a few seconds."
MonkeyKing,,Warrior Trickster,"Wukong becomes <font color='#91d7ee'>Invisible</font> and dashes in a direction, leaving behind a clone that will attack nearby enemies."
MonkeyKing,,Nimbus Strike,"Wukong dashes to a targeted enemy and sends out images to attack enemies near his target, dealing damage to each enemy struck."
MonkeyKing,,Cyclone,"Wukong's extends his staff and spins it around repeatedly, gaining Move Speed.<br><br>Enemies struck take damage and are knocked up."
Renata,Passive,Leverage,Renata's Attacks deal bonus damage and mark enemies. Renata's allies can damage marked enemies to deal bonus damage.
Renata,Q,Handshake,"Renata sends out a missile rooting the first enemy hit, and can recast the ability to throw the unit in a direction."
Renata,W,Bailout,"Renata buffs an allied champion to fight harder, delaying their death and potentially saving them if they get a takedown."
Renata,E,Loyalty Program,"Renata sends out a pair of chemtech missiles, shielding allies and damaging and slowing enemies hit."
Renata,Ultimate,Hostile Takeover,"Renata sends out a wave of chemicals, causing any enemies hit to go Berserk."
Sivir,Passive,Fleet of Foot,Sivir gains a short burst of Move Speed when she attacks an enemy champion.
Sivir,Q,Boomerang Blade,"Sivir hurls her crossblade like a boomerang, dealing damage each way."
Sivir,W,Ricochet,"Sivir's next few basic attacks gain additional attack speed and bounce to nearby targets, dealing reduced damage while bouncing."
Sivir,E,Spell Shield,Creates a magical barrier that blocks a single enemy ability cast on Sivir. She receives health and a burst of movement speed if a spell is blocked.
Sivir,Ultimate,On The Hunt,"Sivir leads her allies in battle, granting them a surge of Move Speed for a period of time. In addition, Sivir's attacks reduce her spell cooldowns."
Zed,Passive,Contempt for the Weak,Zed's basic attacks against low health targets deals bonus Magic Damage. This effect can only occur once every few seconds against the same enemy champion.
Zed,Q,Razor Shuriken,Zed and his shadows throw their shurikens.<br><br>Each shuriken deals damage to every enemy hit.
Zed,W,Living Shadow,"<font color='#FF9900'>Passive:</font> Zed gains energy whenever he and his shadows strike an enemy with the same ability. Energy can only be gained once per cast ability.<br><br><font color='#FF9900'>Active:</font> Zed's shadow dashes forward, remaining in place for a few seconds. Reactivating Living Shadow will cause Zed to switch positions with this shadow."
Zed,E,Shadow Slash,"Zed and his Shadows slash, dealing damage to nearby enemies. Enemies hit by a Shadow's slash are slowed."
Zed,Ultimate,Death Mark,"Zed becomes untargetable and dashes to an enemy champion, marking them. After 3 seconds the mark triggers, repeating a portion of all the damage Zed dealt to the target while they were marked."
Chogath,Passive,Carnivore,"Whenever Cho'Gath kills a unit, he recovers Health and Mana. The values restored increase with Cho'Gath's level."
Chogath,,Rupture,"Ruptures the ground at target location, popping enemy units into the air, dealing damage and slowing them."
Chogath,,Feral Scream,"Cho'Gath unleashes a terrible scream at enemies in a cone, dealing magic damage and Silencing enemies for a few seconds."
Chogath,,Vorpal Spikes,"Cho'Gath's attacks release deadly spikes, dealing damage and slowing all enemy units in front of him."
Chogath,,Feast,"Devours an enemy unit, dealing a high amount of true damage. If the target is killed, Cho'Gath grows, gaining maximum Health."
Blitzcrank,Passive,Mana Barrier,Blitzcrank gains a shield based on their mana when dropping to low health.
Blitzcrank,,Rocket Grab,"Blitzcrank fires their right hand to grab an opponent on its path, dealing damage and dragging it back to them."
Blitzcrank,,Overdrive,Blitzcrank super charges themself to get dramatically increased Move and Attack Speed. They are temporarily slowed after the effect ends.
Blitzcrank,,Power Fist,Blitzcrank charges up their fist to make the next attack deal double damage and pop their target up in the air.
Blitzcrank,,Static Field,"Enemies attacked by Blitzcrank are marked and take lightning damage after 1 second. Additionally, Blitzcrank can activate this ability to remove nearby enemies' shields, damage them, and silence them briefly."
Ezreal,Passive,Rising Spell Force,"Ezreal gains increasing Attack Speed each time he successfully hits a spell, stacking up to 5 times."
Ezreal,Q,Mystic Shot,Ezreal fires a damaging bolt of energy which reduces all of his cooldowns slightly if it strikes an enemy unit.
Ezreal,W,Essence Flux,"Ezreal fires an orb that sticks to the first champion or objective hit. If Ezreal hits an enemy with the orb, it detonates and deals damage."
Ezreal,E,Arcane Shift,Ezreal teleports to a target nearby location and fires a homing bolt which strikes the nearest enemy unit. Prioritizes enemies stuck with Essence Flux.
Ezreal,Ultimate,Trueshot Barrage,Ezreal winds up before firing a powerful barrage of energy that deals massive damage to each unit it passes through (damage is reduced for minions and non-epic monsters).
Lux,Passive,Illumination,"Lux's damaging spells charge the target with energy for a few seconds. Lux's next attack ignites the energy, dealing bonus magic damage (depending on Lux's level) to the target."
Lux,,Light Binding,Lux releases a sphere of light that binds and deals damage to up to two enemy units.
Lux,,Prismatic Barrier,"Lux throws her wand and bends the light around any friendly target it touches, protecting them from enemy damage."
Lux,,Lucent Singularity,"Fires an anomaly of twisted light to an area, which slows nearby enemies. Lux can detonate it to damage enemies in the area of effect."
Lux,Ultimate,Final Spark,"After gathering energy, Lux fires a beam of light that deals damage to all targets in the area. In addition, triggers Lux's passive ability and refreshes the Illumination debuff duration."
Khazix,Passive,Unseen Threat,"Nearby enemies that are <font color='#FFF673'>Isolated</font> from their allies are marked. Kha'Zix's abilities have interactions with <font color='#FFF673'>Isolated</font> targets.<br><br>When Kha'Zix is not visible to the enemy team, he gains Unseen Threat, causing his next basic attack against an enemy champion to deal bonus magic damage and slow them for a few seconds."
Khazix,Q,Taste Their Fear,"Deals physical damage to the target. Damage increased on <font color='#FFF673'>Isolated</font> targets. If he chooses to <font color='#00DD33'>Evolve Reaper Claws</font>, this refunds a percent of it's cooldown against <font color='#FFF673'>Isolated</font> targets. Kha'Zix also gains increased range on his basic attacks and Taste Their Fear."
Khazix,W,Void Spike,"Kha'Zix fires exploding spikes that deal physical damage to enemies hit. Kha'Zix is healed if he is also within the explosion radius. If he chooses to <font color='#00DD33'>Evolve Spike Racks</font>, Void Spike now fires three spikes in a cone, slow enemies hit, and reveals enemy champions hit for 2 seconds. <font color='#FFF673'>Isolated</font> targets are slowed for extra."
Khazix,E,Leap,"Kha'Zix leaps to an area, dealing physical damage upon landing. If he chooses to <font color='#00DD33'>Evolve Wings</font>, Leap's range increases by 200 and the cooldown resets on champion kill or assist."
Khazix,Ultimate,Void Assault,"Each rank allows Kha'Zix to evolve one of his abilities, giving it a unique additional effect. When activated, Kha'Zix becomes <font color='#91d7ee'>Invisible</font>, triggering Unseen Threat and increasing Move Speed. If he chooses to <font color='#00DD33'>Evolve Adaptive Cloaking</font>, Void Assault gains increased <font color='#91d7ee'>Invisibility</font> duration, and an additional use."
Udyr,Passive,Bridge Between,"Udyr has four basic Abilities that swap between Stances and can Recast an Ability to renew it with Ultimate benefits. Additionally, after using an Ability, Udyr's next two Attacks gain Attack Speed."
Udyr,Q,Wilding Claw,"Udyr gains attack speed and his next two attacks deal bonus physical damage. Recast: Gain even more attack speed, and the next two attacks call lightning to strike the target."
Udyr,W,Iron Mantle,Udyr gains a shield and his next two attacks heal him. Recast: Gain an even bigger shield and heal based on max health over the next couple seconds.
Udyr,E,Blazing Stampede,Udyr gains movement speed and his first attack against each target will Stun them. Recast: Gain even more movement speed and immunity to immobilizing effects for a couple seconds. 
Udyr,Ultimate,Wingborne Storm,"Udyr surrounds himself in a glacial storm, damaging and slowing nearby enemies. Recast: Empower and unleash the storm, causing it to track enemies and deal additional damage."
Volibear,Passive,The Relentless Storm,"Volibear's Attacks and abilities grant Attack Speed, and eventually cause his Attacks to deal bonus magic damage to nearby enemies."
Volibear,Q,Thundering Smash,"Volibear gains speed towards enemies, <status>Stunning</status> and damaging the first one he Attacks."
Volibear,W,Frenzied Maul,"Volibear damages an enemy, applying on-hit effects and marking them.  Casting this ability again on the same target deals bonus damage and Heals Volibear."
Volibear,E,Sky Splitter,"Volibear summons a lightning bolt at a location, dealing damage and Slowing enemies while granting Volibear a Shield if he's inside the blast radius."
Volibear,Ultimate,Stormbringer,"Volibear leaps to a target location, Slowing and damaging enemies beneath him while gaining bonus Health.  Enemy towers near his landing location become temporarily disabled."
Nasus,Passive,Soul Eater,"Nasus drains his foe's spiritual energy, giving him bonus Life Steal."
Nasus,Q,Siphoning Strike,"Nasus strikes his foe, dealing damage and increasing the power of his future Siphoning Strikes if he slays his target."
Nasus,W,Wither,"Nasus ages an enemy champion, decelerating their Move Speed and Attack Speed over time."
Nasus,E,Spirit Fire,"Nasus unleashes a spirit flame at a location, dealing damage and reducing the Armor of enemies who stand on it."
Nasus,Ultimate,Fury of the Sands,"Nasus unleashes a mighty sandstorm that batters nearby enemies. While the storm rages, he gains increased Health, Attack Range, damages nearby enemies, has a reduced cooldown on Siphoning Strike, and gains bonus Armor and Magic Resistance."
Nami,Passive,Surging Tides,When Nami's Abilities hit allied champions they gain Move Speed for a short duration.
Nami,Q,Aqua Prison,"Sends a bubble to a target area, dealing damage and stunning all enemies on impact."
Nami,W,Ebb and Flow,"Unleashes a stream of water that bounces back and forth between allied and enemy champions, healing allies and damaging enemies."
Nami,E,Tidecaller's Blessing,Empowers an allied champion for a short duration. The ally's basic attacks and spells deal bonus magic damage and slow the target.
Nami,Ultimate,Tidal Wave,"Summons a massive Tidal Wave that knocks up, slows, and damages enemies. Allies hit gain double the effect of Surging Tides."
Diana,Passive,Moonsilver Blade,"Every third strike cleaves nearby enemies for an additional magic damage. After casting a spell, Diana gains Attack Speed for 5 seconds."
Diana,Q,Crescent Strike,"Unleashes a bolt of lunar energy in an arc dealing magic damage.<br><br>Afflicts enemies struck with Moonlight, revealing them if they are not stealthed for 3 seconds."
Diana,,Pale Cascade,"Diana creates three orbiting spheres that detonate on contact with enemies to deal damage in an area. She also gains a temporary shield that absorbs damage. If her third sphere detonates, the shield gains additional strength."
Diana,,Lunar Rush,"Becomes the living embodiment of the vengeful moon, dashing to an enemy and dealing magic damage.<br><br>Lunar Rush has no cooldown when used to dash to an enemy afflicted with Moonlight. All other enemies will have the Moonlight debuff removed regardless of whether they were the target of Lunar Rush."
Diana,Ultimate,Moonfall,"Diana reveals and draws in all nearby enemies and slows them.<br><br>If Diana pulls in one or more enemy champions, the moonlight crashes down onto her after a short delay, dealing magic damage in an area around her, increased for each target beyond the first pulled."
Singed,Passive,Noxious Slipstream,"Singed drafts off nearby champions, gaining a burst of Move Speed when passing them."
Singed,,Poison Trail,"Leaves a trail of poison behind Singed, dealing damage to enemies caught in the path."
Singed,,Mega Adhesive,"Throws a vial of mega adhesive on the ground, slowing and grounding enemies who walk on it."
Singed,,Fling,"Damages target enemy unit and flings them into the air behind Singed. If the target Singed flings lands in his Mega Adhesive, they are also rooted."
Singed,,Insanity Potion,"Singed drinks a potent brew of chemicals, granting him increased combat stats, and making his Poison Trail apply Grievous Wounds."
Kassadin,Passive,Void Stone,Kassadin takes reduced magic damage and ignores unit collision.
Kassadin,,Null Sphere,"Kassadin fires an orb of void energy at a target, dealing damage and interrupting channels. The excess energy forms around himself, granting a temporary shield that absorbs magic damage."
Kassadin,,Nether Blade,Passive: Kassadin's basic attacks deal bonus magic damage. Active: Kassadin's next basic attack deals significant bonus magic damage and restores Mana.
Kassadin,,Force Pulse,"Kassadin draws energy from spells cast in his vicinity. Upon charging up, Kassadin can use Force Pulse to damage and slow enemies in a cone in front of him."
Kassadin,,Riftwalk,Kassadin teleports to a nearby location dealing damage to nearby enemy units. Multiple Riftwalks in a short period of time cost additional Mana but also deal additional damage.
Caitlyn,Passive,Headshot,"Every few basic attacks, or against a target she has trapped or netted, Caitlyn will fire a headshot dealing bonus damage that scales with her critical strike chance. On trapped or netted targets, Caitlyn's Headshot attack range is doubled."
Caitlyn,Q,Piltover Peacemaker,Caitlyn revs up her rifle for 1 second to unleash a penetrating shot that deals physical damage (deals less damage to subsequent targets).
Caitlyn,W,Yordle Snap Trap,"Caitlyn sets a trap that, when sprung, reveals and immobilizes the enemy champion for 1.5 seconds, granting Caitlyn an empowered Headshot."
Caitlyn,E,90 Caliber Net,Caitlyn fires a heavy net to slow her target. The recoil knocks Caitlyn back.
Caitlyn,Ultimate,Ace in the Hole,"Caitlyn takes time to line up the perfect shot, dealing massive damage to a single target at a huge range. Enemy champions can intercept the bullet for their ally."
Yone,Passive,Way of the Hunter,"Yone deals magic damage with every second Attack. In addition, his critical strike chance is increased."
Yone,Q,Mortal Steel,"Thrusts forward, damaging all enemies in a line.<br><br>On hit, grants a stack of Gathering Storm for a few seconds. At 2 stacks, Mortal Steel dashes Yone forward with a gust of wind knocking enemies <status>Airborne</status>."
Yone,W,Spirit Cleave,"Cleaves forward, damaging all enemies in a cone. Grants a shield to Yone, the value is increased by the number of champions hit by the swipe.<br><br>Spirit Cleave's cooldown and cast time scale with attack speed."
Yone,E,Soul Unbound,"Yone's spirit leaves his body behind, gaining Move Speed. When this ability ends, Yone's spirit is forced back to his body and he repeats a portion of the damage he dealt as a spirit."
Yone,Ultimate,Fate Sealed,Yone blinks behind the last champion in a line with a slash so powerful it pulls all enemies hit towards him.
Annie,Passive,Pyromania,"After casting 4 spells, Annie's next offensive spell will stun the target.<br><br>Annie begins the game and respawns with Pyromania available."
Annie,Q,Disintegrate,"Annie hurls a Mana infused fireball, dealing damage and refunding the Mana cost if it destroys the target."
Annie,W,Incinerate,"Annie casts a blazing cone of fire, dealing damage to all enemies in the area."
Annie,E,Molten Shield,"Grants Annie or an ally a shield, a burst of Move Speed, and damages enemies who strike her with attacks or spells."
Annie,Ultimate,Summon: Tibbers,"Annie wills her bear Tibbers to life, dealing damage to units in the area. Tibbers can attack and also burns enemies that stand near him."
TahmKench,Passive,An Acquired Taste,"Tahm Kench puts the heft of his immense body behind his attacks, gaining extra damage based on his total health. Damaging enemy champions builds stacks of <spellName>An Acquired Taste</spellName>. At three stacks, he can use <spellName>Devour</spellName> on an enemy champion."
TahmKench,Q,Tongue Lash,"Tahm Kench lashes out with his tongue, damaging and slowing the first unit hit and healing himself if he strikes an enemy champion.<br><br>Applies a stack of  <spellName>An Acquired Taste</spellName> to enemy champions. If the champion already has 3 stacks of <spellName>An Acquired Taste</spellName>, they are stunned and the stacks are consumed."
TahmKench,W,Abyssal Dive,"Dive down and then re-appear at target location, damaging and knocking up all enemies in an area."
TahmKench,E,Thick Skin,<passive>Passive:</passive> Tahm Kench stores a percent of the damage he takes and heals based on it while out of combat.<br><br><active>Active:</active> Convert all stored damage into a temporary shield.
TahmKench,,Devour,"Tahm Kench devours a champion for a few seconds, dealing magic damage if they are an enemy, or shielding them if they are an ally."
Syndra,Passive,Transcendent,Syndra collects Splinters of Wrath from gaining levels and damaging enemies which upgrade her abilities.<br><br><font color='#FF9900'>Dark Sphere</font>: Syndra can hold an additional charge<br><font color='#FF9900'>Force of Will</font>: Bonus true damage.<br><font color='#FF9900'>Scatter the Weak</font>: Increased width and slows all targets<br><font color='#FF9900'>Unleashed Power</font>: Executes low health targets
Syndra,Q,Dark Sphere,Syndra conjures a Dark Sphere dealing magic damage. The sphere remains and can be manipulated by her other powers.
Syndra,W,Force of Will,Syndra picks up and throws a Dark Sphere or enemy minion dealing magic damage and slowing the Move Speed of enemies.
Syndra,E,Scatter the Weak,Syndra knocks enemies and Dark Spheres back dealing magic damage. Enemies hit by Dark Spheres become stunned.
Syndra,Ultimate,Unleashed Power,Syndra bombards an enemy Champion with all of her Dark Spheres.
Poppy,Passive,Iron Ambassador,Poppy throws her buckler that bounces off the target. Poppy can pick it up to gain a temporary shield.
Poppy,Q,Hammer Shock,"Poppy swings her hammer, dealing damage and creating a zone that will slow enemies and explode after a delay."
Poppy,W,Steadfast Presence,"Poppy passively gains Armor and Magic Resist. This bonus increases when she is low on Health. Poppy can activate Steadfast Presence to gain Move Speed and stop enemy dashes around her. If a dash is stopped, the enemy is slowed and grounded."
Poppy,E,Heroic Charge,"Poppy dashes to the target and pushes it back. If the target is pushed into a wall, it is stunned."
Poppy,Ultimate,Keeper's Verdict,Poppy channels a hammer strike that knocks enemies very far away.
Garen,Passive,Perseverance,"If Garen has not recently been struck by damage or enemy abilities, he regenerates a percentage of his total health each second."
Garen,Q,Decisive Strike,"Garen gains a burst of Move Speed, breaking free of all slows affecting him. His next attack strikes a vital area of his foe, dealing bonus damage and silencing them."
Garen,W,Courage,Garen passively increases his Armor and Magic Resist by killing enemies. He may also activate this ability to give him a shield and tenacity for a brief moment followed by a lesser amount of damage reduction for a longer duration.
Garen,E,Judgment,"Garen rapidly spins his sword around his body, dealing physical damage to nearby enemies."
Garen,Ultimate,Demacian Justice,Garen calls upon the might of Demacia to attempt to execute an enemy champion.
XinZhao,Passive,Determination,Every third attack deals bonus damage and heals Xin Zhao.
XinZhao,Q,Three Talon Strike,Xin Zhao's next 3 standard attacks deal increased damage with the third attack knocking an opponent into the air.
XinZhao,W,Wind Becomes Lightning,"Xin Zhao slashes in front of himself with his spear, then thrusts it forward, slowing affected enemies and marking them as Challenged."
XinZhao,E,Audacious Charge,"Xin Zhao charges to an enemy, gaining increased Attack Speed and dealing damage to all enemies in the area, slowing them briefly. This Ability gains increased range against Challenged targets."
XinZhao,Ultimate,Crescent Guard,"Xin Zhao passively challenges an enemy he damaged recently. When activated, Xin Zhao deals damage to nearby enemies based on their current Health and knocks non-challenged targets back, becoming impervious to damage dealt by champions outside of the circle created."
Naafiri,Passive,We Are More,Naafiri spawns packmates that attack the targets of her attacks and abilities.
Naafiri,Q,Darkin Daggers,"Naafiri hurls up to two daggers, each inflicting bleed, or each inflicting bonus damage if the target is already bleeding.<br><br>Packmates leap to attack the first champion or monster hit by this skill.<br>"
Naafiri,Ultimate,The Call of the Pack,"Naafiri becomes Untargetable and empowers her pack, spawning additional packmates and gaining increased Move Speed and Attack Damage.<br>"
Naafiri,E,Eviscerate,"Naafiri dashes and damages enemies in an area around her, recalling her packmates and fully healing them."
Naafiri,W,Hounds' Pursuit,"Naafiri and her packmates dash at a champion, dealing damage. Naafiri reveals nearby enemies if she scores a takedown and can recast this Ability once. The second cast grants a shield."
Twitch,Passive,Deadly Venom,"Twitch's basic attacks infect the target, dealing true damage each second."
Twitch,,Ambush,"Twitch becomes Camouflaged for a short duration and gains Move Speed. When leaving Camouflage, Twitch gains Attack Speed for a short duration.<br><br>When an enemy champion with Deadly Venom dies, Ambush's cooldown is reset."
Twitch,,Venom Cask,"Twitch hurls a cask of venom that explodes in an area, slowing targets and applying deadly venom to the target."
Twitch,,Contaminate,Twitch wreaks further havoc on poisoned enemies with a blast of his vile diseases.
Twitch,,Spray and Pray,"Twitch unleashes the full power of his crossbow, shooting bolts over a great distance that pierce all enemies caught in their path."
Alistar,Passive,Triumphant Roar,Alistar charges his roar by stunning or displacing enemy champions or when nearby enemies die. When fully charged he heals himself all nearby allied champions.
Alistar,,Pulverize,"Alistar smashes the ground, dealing damage to nearby enemies and tossing them into the air."
Alistar,,Headbutt,"Alistar rams a target with his head, dealing damage and knocking the target back."
Alistar,E,Trample,"Alistar tramples nearby enemy units, ignoring unit collision and gaining stacks if he damages an enemy champion. At full stacks Alistar's next basic attack against an enemy champion deals additional magic damage and stuns them."
Alistar,,Unbreakable Will,"Alistar lets out a wild roar, removing all crowd control effects on himself, and reducing incoming physical and magical damage for the duration."
Ambessa,Passive,Drakehound's Step,"Entering an attack or movement command while casting an ability will cause Ambessa to dash a short distance once the ability is cast, granting her next attack bonus range, damage, and attack speed, and refunding energy."
Ambessa,Q,Cunning Sweep / Sundering Slam,"Ambessa sweeps her twin drakehounds in a semicircle in front of her, dealing bonus damage to enemies hit by the blades. Striking an enemy will transform the next cast of this ability for a short period of time, causing her to slam her twin drakehounds down in a line in front of her, dealing bonus damage to the first enemy hit."
Ambessa,W,Repudiation,"Ambessa gains a shield, briefly braces herself, and then slams the ground to damage nearby enemies. If she blocked any non-minion damage while bracing herself, this ability will deal increased damage."
Ambessa,E,Lacerate,"Ambessa whips her twin drakehounds around herself, damaging and slowing nearby enemies. Initiating Drakehound's Step from this ability causes her to strike a second time at the end of its dash."
Ambessa,Ultimate,Public Execution,Ambessa blinks to the farthest enemy champion in a line of her choosing and suppresses them upon her arrival. She then slams the enemy into the ground where they take damage and are stunned.
Anivia,Passive,Rebirth,"Upon taking fatal damage, Anivia reverts to an egg and is reborn with full health."
Anivia,,Flash Frost,"Anivia brings her wings together and summons a sphere of ice that flies towards her opponents, chilling and damaging anyone in its path. When the sphere explodes it does moderate damage in a radius, stunning anyone in the area."
Anivia,,Crystallize,Anivia condenses the moisture in the air into an impassable wall of ice to block all movement. The wall only lasts a short duration before it melts.
Anivia,,Frostbite,"With a flap of her wings, Anivia blasts a freezing gust of wind at her target, dealing damage. If the target was recently hit by Flash Frost or damaged by a fully formed Glacial Storm, the damage they take is doubled."
Anivia,,Glacial Storm,Anivia summons a driving rain of ice and hail to damage her enemies and slow their advance.
Sion,Passive,Glory in Death,"After being killed, Sion will temporarily reanimate with rapidly decaying Health. His attacks become very rapid, heal him, and deal bonus damage based on his target's maximum Health."
Sion,Q,Decimating Smash,"Sion charges a powerful swing in an area in front of himself that will deal damage to enemies when released. If he charges for enough time, enemies hit by the swing will also be knocked up and stunned."
Sion,W,Soul Furnace,"Sion shields himself and can reactivate after 3 seconds to deal Magic Damage to enemies nearby. When Sion kills enemies, he passively gains maximum Health."
Sion,E,Roar of the Slayer,"Sion fires a short range shockwave that damages and slows and reduces the Armor of the first enemy hit. If the shockwave hits a minion or monster, it will be knocked back, damaging, slowing, and reducing the Armor of all enemies that it passes through."
Sion,Ultimate,Unstoppable Onslaught,"Sion charges in a direction, ramping up speed over time. He can steer his charge slightly with the mouse cursor location. When he collides with an enemy he deals damage and knocks them up based on the distance he has charged."
Seraphine,Passive,Stage Presence,"Every third basic spell will cast twice from Seraphine. Additionally, casting spells near allies grants her bonus magic damage and range on her next basic attack."
Seraphine,Q,High Note,Seraphine deals damage in an area.
Seraphine,W,Surround Sound,Seraphine Shields and Hastes nearby allies. If she is already Shielded she will Heal nearby allies as well.
Seraphine,E,Beat Drop,Seraphine deals damage and impairs the movement of enemies in a line.
Seraphine,Ultimate,Encore,"Seraphine deals damage and charms enemies hit, refreshing the range with every allied or enemy champion hit."
MasterYi,Passive,Double Strike,"Every few consecutive basic attack, Master Yi strikes twice."
MasterYi,,Alpha Strike,"Master Yi teleports across the battlefield with blinding speed, dealing physical damage to multiple units in his path, while simultaneously becoming untargetable. Alpha Strike can critically strike and deals bonus physical damage to monsters. Basic attacks reduce Alpha Strike's cooldown."
MasterYi,,Meditate,"Master Yi rejuvenates his body by focus of mind, restoring Health and taking reduced damage for a short time. In addition, Master Yi will gain stacks of Double Strike and pause the remaining duration on Wuju Style and Highlander for each second he channels."
MasterYi,,Wuju Style,Grants bonus true damage on basic attacks.
MasterYi,,Highlander,"Master Yi moves with unparalleled agility, temporarily increasing his Move Speed and Attack Speed as well as making him immune to all slowing effects. While active, Champion kills or assists extend Highlander's duration. Passively reduces cooldown for his other abilities on a kill or assist."
Mel,Passive,Searing Brilliance,"Whenever Mel uses an ability, she gains three bonus projectiles (up to nine maximum) on her next attack.<br><br>When Mel deals damage through an ability or attack, she applies Overwhelm, which can stack infinitely. If the enemy is hit by Mel with enough Overwhelm damage, the stacks are consumed to execute the target."
Mel,Q,Radiant Volley,"Mel fires a barrage of projectiles that explode around a target location, dealing damage repeatedly to enemies within the area."
Mel,W,Rebuttal,"Mel forms a barrier around herself that reflects enemy projectiles back at the attacker, prevents her from taking damage, and grants her movement speed."
Mel,E,Solar Snare,"Mel fires a radiant orb forward, rooting those at its center while the area around it slows enemies and deals damage over time."
